Latitude,Longitude,Confiança
-3.70256513816915,-56.83565598033829,1.0
-4.652384324493884,-66.1561713017062,1.0
-4.797238106762811,-55.19133842783965,1.0
-8.97512367942517,-58.132882870174036,1.0
-3.648672588892797,-59.01972354504369,1.0
-6.9532155758388745,-52.23102872924731,1.0
-9.01523146030131,-52.358845430047964,1.0
-9.173967020291503,-62.627912955551594,1.0
-9.96668993509773,-56.95129464520884,1.0
-8.856679867527028,-64.15314188298262,1.0
-9.754643875277957,-52.817984749842395,1.0
-3.2242504998813066,-52.05181573973323,1.0
-8.179484962370235,-67.2933034349075,1.0
-6.058731727564604,-61.2440453526537,1.0
-8.201870924676651,-62.681332039562456,1.0
-6.893413636838091,-62.67835870250546,1.0
-7.673925355617559,-60.86745019902262,1.0
-6.930536903693182,-57.91467722495011,1.0
-6.168423437919407,-56.746464014919205,1.0
-3.612333302215605,-57.594270373129405,1.0
-3.948015739521084,-58.79098178690751,1.0
-7.268265941140879,-63.768471695856874,1.0
-9.221115887203037,-67.52878743752622,1.0
-8.302880478497073,-57.081832353277115,1.0
-2.3044580335759006,-69.92209873440397,1.0
-5.2881568881228285,-61.467646988654266,1.0
-7.586549643737716,-53.72666671796932,1.0
-7.378285114850145,-50.64619721105798,1.0
-4.54596878481626,-60.008107870805794,1.0
-6.910431269028091,-56.543792050458165,1.0
-2.117608715674735,-60.63894823636826,1.0
-7.541000196846239,-68.95769695765817,1.0
-3.246591918767752,-60.58075039748229,1.0
-4.801360183296039,-52.90786162989402,1.0
-9.218754844183463,-59.26466577969424,1.0
-3.4645655510898514,-54.96423233762521,1.0
-4.815225094907042,-55.71650208635054,1.0
-3.272430368777652,-65.45848545376334,1.0
-6.11745135377862,-57.22295501613989,1.0
-7.091071683872578,-61.05142252699818,1.0
-3.676451785845443,-67.53584799113014,1.0
-3.3593165732665673,-57.91345538370558,1.0
-9.882709776825426,-53.12055334214216,1.0
-5.174425038094349,-53.19761805179204,1.0
-8.30944513826482,-53.447483240083905,1.0
-4.199120440391749,-66.85843937509426,1.0
-4.616604734474818,-55.77983527013447,1.0
-9.744684981211588,-60.279126816863645,1.0
-3.2927640171855668,-53.45649168875815,1.0
-2.971228255279189,-58.0518544470234,1.0
-6.514105110207245,-68.76586514955046,1.0
-9.15586186735494,-51.8845731867309,1.0
-8.803804077418082,-68.74445429225959,1.0
-6.012349700866636,-50.628655589744824,1.0
-3.1764951893170545,-62.56934248437135,1.0
-7.09422431157526,-59.98988636637953,1.0
-3.494538730990329,-59.64972613845466,1.0
-8.643424358465932,-51.10964548974205,1.0
-2.639071150085668,-53.43326529837741,1.0
-2.0369316364902437,-55.29833869816518,1.0
-6.308880437663647,-50.539152018860705,1.0
-7.850433561829973,-56.249730716916254,1.0
-2.1120922527665478,-50.4659913897436,1.0
-3.9184022153186016,-54.96106839504686,1.0
-5.713543114836365,-62.317374777447476,1.0
-4.915043426486689,-67.32584318386729,1.0
-3.8409885026467245,-54.26199920057299,1.0
-8.592177085270862,-56.58400864383138,1.0
-3.2874569760602883,-63.956847610302376,1.0
-5.8558663146187735,-53.97378154023919,1.0
-4.521770837323864,-61.707235808777256,1.0
-2.9232497058157243,-61.736358809121015,1.0
-2.3279096994434845,-56.232318501266036,1.0
-9.24485931365885,-62.850750190998724,1.0
-2.365443169523119,-61.81173047027009,1.0
-3.2994465158985324,-66.90031185002235,1.0
-7.681219415760424,-69.1514686294199,1.0
-9.390074059697426,-56.60144555396052,1.0
-8.027943790780416,-63.59144770456178,1.0
-7.741056634842755,-66.68549512281876,1.0
-9.114499877379064,-57.54305645834143,1.0
-7.65627584894343,-60.1036870081887,1.0
-3.6914047420430487,-53.57288542465473,1.0
-6.502777031369445,-68.37895292230805,1.0
-7.898400812819534,-65.5533660940792,1.0
-9.793815860487811,-54.84075034548905,1.0
-9.12142261282039,-57.31833634094685,1.0
-6.203955945070765,-53.72539432155042,1.0
-9.128005209574624,-60.40504457724546,1.0
-7.617335137486252,-51.27264378185239,1.0
-9.573731154691592,-50.59150976338762,1.0
-5.842884264409857,-50.981795431039984,1.0
-7.244892786809749,-59.46340120772766,1.0
-5.000067998863215,-62.34817869860682,1.0
-9.23460153300238,-68.03125104494225,1.0
-6.620035660294927,-60.12644522536296,1.0
-6.3149703346927595,-68.64562245989275,1.0
-6.897030068111399,-51.61156103373329,1.0
-6.130738344699907,-60.54538041434518,1.0
-5.286348969517087,-52.66550030911601,1.0
-9.649148106111337,-55.7928991819618,1.0
-6.007708367862619,-69.7016334847255,1.0
-9.420882304139363,-56.16601310298758,1.0
-5.500859441362327,-59.58378826716056,1.0
-3.3725138954145066,-66.45299325060799,1.0
-3.6188948066239934,-54.34503825080084,1.0
-6.939746415714575,-58.31184144807367,1.0
-2.931500312929722,-63.40585384919499,1.0
-7.601544696596093,-54.358956271299206,1.0
-4.88265642237213,-68.9188967706696,1.0
-2.1453700731650303,-51.46483131612745,1.0
-9.522463920904283,-69.38922160975804,1.0
-7.883073324775264,-67.94063571473781,1.0
-3.941878922786848,-59.03849579288058,1.0
-7.790528959550722,-55.14849060045072,1.0
-7.571224175753509,-68.00548687301196,1.0
-3.4994542585813546,-63.49275310759886,1.0
-5.683220791184921,-56.644799753565415,1.0
-6.081633350871268,-52.417234629008604,1.0
-5.091880312005503,-50.15554638070831,1.0
-8.750191082745495,-67.54248475712697,1.0
-7.686836197238406,-63.6560582484676,1.0
-8.813931971216821,-57.68555282285661,1.0
-5.514411510466563,-63.56815201815435,1.0
-3.127635473423992,-53.57772561214513,1.0
